Регион	Ожидаемая продолжительность жизни	Численность мужского населения 
        Алтайский край	70,74	1 098 200,00
        Амурская область	68,28	381 400,00
        Архангельская область	70,82	528 500,00
        Астраханская область	72,20	479 400,00
        Белгородская область	72,87	714 100,00
        Брянская область	70,92	559 800,00
        Владимирская область	70,28	631 900,00
        Волгоградская область	72,49	1 178 200,00
        Вологодская область	70,24	547 700,00
        Воронежская область	72,08	1 070 500,00
        Город Москва столица Российской Федерации город федерального значения	77,08	5 692 700,00
        Город Санкт-Петербург город федерального значения	74,90	2 361 500,00
        Город федерального значения Севастополь	71,64	194 200,00
        Еврейская автономная область	65,88	78 800,00
        Забайкальский край	68,33	518 800,00
        Ивановская область	70,77	463 200,00
        Иркутская область	68,20	1 115 500,00
        Кабардино-Балкарская Республика	75,12	403 200,00
        Калининградская область	71,92	458 400,00
        Калужская область	71,18	465 600,00
        Камчатский край	68,66	157 700,00
        Карачаево-Черкесская Республика	74,72	216 500,00
        Кемеровская область - Кузбасс	68,72	1 247 000,00
        Кировская область	71,71	597 100,00
        Костромская область	70,87	298 500,00
        Краснодарский край	72,83	2 557 000,00
        Красноярский край	70,01	1 338 400,00
        Курганская область	69,43	396 000,00
        Курская область	70,94	508 100,00
        Ленинградская область	71,70	832 500,00
        Липецкая область	71,62	527 600,00
        Магаданская область	69,00	70 900,00
        Московская область	72,50	3 381 100,00
        Мурманская область	70,94	365 000,00
        Ненецкий автономный округ 	71,08	21 400,00
        Нижегородская область	70,75	1 478 100,00
        Новгородская область	69,15	277 100,00
        Новосибирская область	71,20	1 285 700,00
        Омская область	70,78	914 900,00
        Оренбургская область	70,57	928 000,00
        Орловская область	70,73	342 900,00
        Пензенская область	72,53	616 300,00
        Пермский край	69,74	1 209 900,00
        Приморский край	69,66	924 200,00
        Псковская область	69,25	298 000,00
        Республика Адыгея (Адыгея)	72,59	210 500,00
        Республика Алтай	70,13	102 000,00
        Республика Башкортостан	71,00	1 907 800,00
        Республика Бурятия	69,61	467 900,00
        Республика Дагестан	77,23	1 451 800,00
        Республика Ингушетия	80,82	214 000,00
        Республика Калмыкия	73,35	133 800,00
        Республика Карелия	69,78	287 200,00
        Республика Коми	69,45	404 400,00
        Республика Крым	70,74	876 900,00
        Республика Марий Эл	70,75	319 600,00
        Республика Мордовия	72,25	375 200,00
        Республика Саха (Якутия)	70,84	465 700,00
        Республика Северная Осетия-Алания	75,05	325 500,00
        Республика Татарстан (Татарстан)	73,64	1 789 600,00
        Республика Тыва	64,21	150 800,00
        Республика Хакасия	69,33	249 400,00
        Ростовская область	72,20	1 964 400,00
        Рязанская область	71,87	514 900,00
        Самарская область	71,08	1 464 900,00
        Саратовская область	72,07	1 138 100,00
        Сахалинская область	68,66	234 100,00
        Свердловская область	70,02	1 986 600,00
        Смоленская область	69,98	441 700,00
        Ставропольский край	73,40	1 305 100,00
        Тамбовская область	72,11	484 000,00
        Тверская область	69,24	593 300,00
        Томская область	71,66	505 500,00
        Тульская область	70,56	679 600,00
        Тюменская область 	71,03	687 800,00
        Удмуртская Республика	70,86	698 500,00
        Ульяновская область	70,97	577 800,00
        Хабаровский край	69,13	636 600,00
        Ханты-Мансийский автономный округ - Югра 	73,50	792 500,00
        Челябинская область	70,50	1 603 100,00
        Чеченская Республика	74,20	686 400,00
        Чувашская Республика - Чувашия	71,52	577 500,00
        Чукотский автономный округ	64,42	25 500,00
        Ямало-Ненецкий автономный округ 	72,13	264 900,00
        Ярославская область	71,21	570 100,00
